user_id,movie_id,rating,time,location,companion
1003,0454876,1,Weekday,Cinema,Alone
1003,0120912,1,Weekday,Cinema,Alone
1003,3793764,1,Weekday,Cinema,Alone
1003,0114148,1,Weekday,Cinema,Alone
1003,0110357,1,Weekday,Cinema,Alone
1003,0109830,1,Weekday,Cinema,Alone
1003,1707386,1,Weekday,Cinema,Alone
1003,0120338,1,Weekday,Cinema,Alone
1003,0088763,1,Weekday,Cinema,Alone
1003,0133093,1,Weekday,Cinema,Alone
1003,1099212,1,Weekday,Cinema,Alone
1003,0454876,1,Weekday,Home,Family
1003,0120912,1,Weekday,Home,Family
1003,3793764,1,Weekday,Home,Family
1003,0114148,1,Weekday,Home,Family
1003,0110357,1,Weekday,Home,Family
1003,0109830,1,Weekday,Home,Family
1003,1707386,1,Weekday,Home,Family
1003,0120338,1,Weekday,Home,Family
1003,0088763,1,Weekday,Home,Family
1003,0133093,1,Weekday,Home,Family
1003,1099212,1,Weekday,Home,Family
1003,0462538,1,Weekday,Home,Alone
1003,0378194,1,Weekday,Home,Alone
1003,1291150,1,Weekday,Home,Alone
1003,0462538,1,Weekday,Home,Family
1003,0378194,1,Weekday,Home,Family
1003,1291150,1,Weekday,Home,Family
1046,0378194,1,Weekday,Home,Alone
1046,0111161,1,Weekday,Home,Alone
1046,3510098,1,Weekday,Home,Alone
1046,1375666,1,Weekday,Home,Alone
1046,0110475,1,Weekday,Home,Alone
1046,0378194,2,Weekday,Cinema,Alone
1046,0111161,3,Weekday,Cinema,Alone
1046,3510098,2,Weekday,Cinema,Alone
1046,1375666,3,Weekday,Cinema,Alone
1046,0110475,3,Weekday,Cinema,Alone
1046,0378194,2,Weekend,Home,Partner
1046,0111161,2,Weekend,Home,Partner
1046,3510098,2,Weekend,Home,Partner
1046,1375666,3,Weekend,Home,Partner
1046,0110475,3,Weekend,Home,Partner
1046,0413267,2,Weekend,Cinema,Alone
1046,0362165,2,Weekend,Cinema,Alone
1046,1291150,2,Weekend,Cinema,Alone
1046,0413267,2,Weekday,Home,Family
1046,0362165,3,Weekday,Home,Family
1046,1291150,2,Weekday,Home,Family
1046,0413267,3,Weekend,Cinema,Family
1046,0362165,2,Weekend,Cinema,Family
1046,1291150,1,Weekend,Cinema,Family
1067,0356910,1,Weekday,Cinema,Partner
1067,3793764,1,Weekday,Cinema,Partner
1067,0111161,1,Weekday,Cinema,Partner
1067,0120338,1,Weekday,Cinema,Partner
1067,1099212,1,Weekday,Cinema,Partner
1067,0356910,4,Weekend,Cinema,Partner
1067,3793764,5,Weekend,Cinema,Partner
1067,0111161,2,Weekend,Cinema,Partner
1067,0120338,2,Weekend,Cinema,Partner
1067,1099212,1,Weekend,Cinema,Partner
1067,0356910,5,Weekend,Home,Partner
1067,3793764,5,Weekend,Home,Partner
1067,0111161,5,Weekend,Home,Partner
1067,0120338,5,Weekend,Home,Partner
1067,1099212,2,Weekend,Home,Partner
1067,0462538,1,Weekend,Cinema,Family
1067,0378194,1,Weekend,Cinema,Family
1067,1632708,1,Weekend,Cinema,Family
1067,0462538,1,Weekday,Cinema,Partner
1067,0378194,2,Weekday,Cinema,Partner
1067,1632708,1,Weekday,Cinema,Partner
1067,0462538,1,Weekend,Cinema,Partner
1067,0378194,1,Weekend,Cinema,Partner
1067,1632708,1,Weekend,Cinema,Partner
1018,0110357,4,Weekend,Home,Family
1018,0111161,5,Weekend,Home,Family
1018,0169547,4,Weekend,Home,Family
1018,0367594,5,Weekend,Home,Family
1018,0133093,3,Weekend,Home,Family
1018,0110357,4,Weekday,Cinema,Partner
1018,0111161,5,Weekday,Cinema,Partner
1018,0169547,5,Weekday,Cinema,Partner
1018,0367594,5,Weekday,Cinema,Partner
1018,0133093,5,Weekday,Cinema,Partner
1018,0120338,1,Weekend,Home,Alone
1018,1291150,1,Weekend,Home,Alone
1018,1099212,1,Weekend,Home,Alone
1018,0120338,1,Weekend,Home,Family
1018,1291150,1,Weekend,Home,Family
1018,1099212,1,Weekend,Home,Family
1007,0319262,5,Weekday,Home,Family
1007,0441773,5,Weekday,Home,Family
1007,0232500,5,Weekday,Home,Family
1007,0343660,4,Weekday,Home,Family
1007,1055369,5,Weekday,Home,Family
1007,0319262,5,Weekend,Home,Family
1007,0441773,5,Weekend,Home,Family
1007,0232500,5,Weekend,Home,Family
1007,0343660,4,Weekend,Home,Family
1007,1055369,5,Weekend,Home,Family
1007,1190080,1,Weekday,Home,Alone
1007,3254460,1,Weekday,Home,Alone
1007,2574698,1,Weekday,Home,Alone
1007,1190080,1,Weekday,Cinema,Family
1007,3254460,1,Weekday,Cinema,Family
1007,2574698,1,Weekday,Cinema,Family
1009,0454876,4,Weekday,Cinema,Partner
1009,0181689,4,Weekday,Cinema,Partner
1009,1453405,5,Weekday,Cinema,Partner
1009,0993846,4,Weekday,Cinema,Partner
1009,0211915,5,Weekday,Cinema,Partner
1009,0454876,4,Weekend,Cinema,Partner
1009,0181689,5,Weekend,Cinema,Partner
1009,1453405,5,Weekend,Cinema,Partner
1009,0993846,4,Weekend,Cinema,Partner
1009,0211915,5,Weekend,Cinema,Partner
1009,3637328,2,Weekend,Home,Family
1009,3793764,2,Weekend,Home,Family
1009,1099212,1,Weekend,Home,Family
1009,3637328,2,Weekend,Cinema,Partner
1009,3793764,2,Weekend,Cinema,Partner
1009,1099212,1,Weekend,Cinema,Partner
1048,1190080,4,Weekday,Home,Family
1048,1369829,4,Weekday,Home,Family
1048,0454876,5,Weekday,Home,Family
1048,0181689,3,Weekday,Home,Family
1048,0120912,4,Weekday,Home,Family
1048,1190080,2,Weekend,Cinema,Partner
1048,1369829,3,Weekend,Cinema,Partner
1048,0454876,3,Weekend,Cinema,Partner
1048,0181689,3,Weekend,Cinema,Partner
1048,0120912,4,Weekend,Cinema,Partner
1048,0356910,3,Weekend,Cinema,Family
1048,3637328,3,Weekend,Cinema,Family
1048,0213149,4,Weekend,Cinema,Family
1048,0356910,3,Weekend,Home,Partner
1048,3637328,3,Weekend,Home,Partner
1048,0213149,4,Weekend,Home,Partner
1057,1637706,2,Weekend,Cinema,Family
1057,0378194,3,Weekend,Cinema,Family
1057,0376541,1,Weekend,Cinema,Family
1057,0088763,5,Weekend,Cinema,Family
1057,0133093,4,Weekend,Cinema,Family
1057,1637706,2,Weekday,Cinema,Partner
1057,0378194,5,Weekday,Cinema,Partner
1057,0376541,1,Weekday,Cinema,Partner
